store,websites,attribute_set,type,sku,model,name,cost_price,price,special_price,categories,manufacturer,description,short_description,weight,age,gender,warranty,warranty_text,has_options,is_in_stock,qty,status,options_container,tax_class_id,visibility,Color:drop_down:1:1,Size:drop_down:1:0,image,_media_image,small_image,thumbnail,meta_description,meta_keyword
Admin,base,Default,simple,YON00011,YON00011,CAB 8000 PLUS,2980,1788,2384,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"This is a very popular racquet in the Carbonex series that features high stiffness, a classic head shape and a durable frame. For the entry-level, intermediate players looking for value, durability and performance in a racquet, this is the perfect option. The Dura frame and graphite shaft provide high repulsion power. The balanced weight of the racquet maintains good power and reduces resistance. The soft leather grip provides the best fit to the players hand allowing perfect movement",Yonex CAB 8000 Plus,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00011.jpg,YON00011.jpg,YON00011.jpg,YON00011.jpg,"This is a very popular racquet in the Carbonex series that features high stiffness, a classic head shape and a durable frame. For the entry-level, intermediate players looking for value, durability and performance in a racquet, this is the perfect option. The Dura frame and graphite shaft provide high repulsion power. The balanced weight of the racquet maintains good power and reduces resistance. The soft leather grip provides the best fit to the players hand allowing perfect movement","Yonex Cab 8000 Plus,Yonex Rackets"
Admin,base,Default,simple,YON00012,YON00012,MP 22 PLUS,3300,1980,2640,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"Muscle Power eliminates the stress-load and fatigue through contact friction

The construction creates total unity of the string and frame through closer-and-tighter contact",Muscle Power 22 Plus,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00012.jpg,YON00012.jpg,YON00012.jpg,YON00012.jpg,"Muscle Power eliminates the stress-load and fatigue through contact friction

The construction creates total unity of the string and frame through closer-and-tighter contact",muscle power
Admin,base,Default,simple,YON00013,YON00013,CAB 8800 PWR ,2765,1659,2212,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,The titanium mesh inserted at sides of the frame gives surface stability for pinpoint accuracy. This racquet allows the head to bend easily and the frame holds the strings together for a very controlled movement of the hand and the shuttle. The thin frame allows the racquet to bend on sides and transfer more energy to the shuttle. The Dura frame and graphite shaft provide high repulsion power. The balanced weight of the racquet maintains good power and reduces resistance. The soft leather grip provides the best fit to the players hand allowing perfect movement.,Yonex Cab 8800 PWR,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00013.jpg,YON00013.jpg,YON00013.jpg,YON00013.jpg,The titanium mesh inserted at sides of the frame gives surface stability for pinpoint accuracy. This racquet allows the head to bend easily and the frame holds the strings together for a very controlled movement of the hand and the shuttle. The thin frame allows the racquet to bend on sides and transfer more energy to the shuttle. The Dura frame and graphite shaft provide high repulsion power. The balanced weight of the racquet maintains good power and reduces resistance. The soft leather grip provides the best fit to the players hand allowing perfect movement.,"Yonex Cab 8800 Pwr,Yonex Rackets"
Admin,base,Default,simple,YON00014,YON00014,NANO RAY 20,3410,2046,2728,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,Flex: Flexible Frame: Graphite Shaft: Graphite NanoMesh + Carbon Nanotube Weight/Grip Size: 3U (85-89.9g) G4,Nanoray 20 has Flex: Flexible Frame: Graphite Shaft: Graphite NanoMesh + Carbon Nanotube,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00014.jpg,YON00014.jpg,YON00014.jpg,YON00014.jpg,Flex: Flexible Frame: Graphite Shaft: Graphite NanoMesh + Carbon Nanotube Weight/Grip Size: 3U (85-89.9g) G4,"Flexible Flex, Graphite Frame Grip 3U (85-89.9g) G4"
Admin,base,Default,simple,YON00015,YON00015,NS 100 ,3195,1917,2556,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The Nanoscience process establishes a high-performance molecular bond within the materials and creates a stable, thinner and stronger head-light racquet that delivers maximum swing speed and power.Flex: Flexible Frame: Graphite Shaft: Graphite Carbon Nanotube Weight/Grip size: 3U (85-89.9g) G4","Nanoscience creates a stable, thinner and stronger head-light racquet that delivers maximum swing speed and power.Flex:",,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00015.jpg,YON00015.jpg,YON00015.jpg,YON00015.jpg,"The Nanoscience process establishes a high-performance molecular bond within the materials and creates a stable, thinner and stronger head-light racquet that delivers maximum swing speed and power.Flex: Flexible Frame: Graphite Shaft: Graphite Carbon Nanotube Weight/Grip size: 3U (85-89.9g) G4","Maximum Swing speed, power"
Admin,base,Default,simple,YON00016,YON00016,ARC 003,3835,2301,3068,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The ARC 003 racquet features a technology that binds the carbon fibres in the racquet smash together allowing for a better release of energy to the shuttle for a stronger hit. It also features a square head shape equalizing the length of main and cross strings in the string bed, enlarging the sweet spot for more consistent accuracy. The comfortable grip provides easy gripping and a quick swing-through.
",Yonex Arc 003,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00016.jpg,YON00016.jpg,YON00016.jpg,YON00016.jpg,"The ARC 003 racquet features a technology that binds the carbon fibres in the racquet smash together allowing for a better release of energy to the shuttle for a stronger hit. It also features a square head shape equalizing the length of main and cross strings in the string bed, enlarging the sweet spot for more consistent accuracy. The comfortable grip provides easy gripping and a quick swing-through.
","Yonex Arc 003,Yonex Rackets"
Admin,base,Default,simple,YON00017,YON00017,ARC SABRE DELTA ,3700,2220,2960,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"Yonex ArcSaber Delta (AS-Delta) is the 2012 model released by Yonex within the ArcSaber series. The Yonex ArcSaber Delta is an even balance racket with a medium stiff shaft offering fast swing speed and all-around type of play with good control. Racket comes with full cover.

The ArcSaber Delta uses the Aero-Box Vari Frame reduces wind drag compared with a standard air-flow pattern, maximizing the power of the swing and the transfer of energy to the ball. By introducing Nanoair Spring into the resin which binds the carbon fibres, nanoscale air bubbles in the material help the racquet to flex and bend as in a spring. The result is a better transfer of energy from string-bed to shuttle for a more powerful shot.",Yonex Arc Sabre Delta,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00017.jpg,YON00017.jpg,YON00017.jpg,YON00017.jpg,"Yonex ArcSaber Delta (AS-Delta) is the 2012 model released by Yonex within the ArcSaber series. The Yonex ArcSaber Delta is an even balance racket with a medium stiff shaft offering fast swing speed and all-around type of play with good control. Racket comes with full cover.

The ArcSaber Delta uses the Aero-Box Vari Frame reduces wind drag compared with a standard air-flow pattern, maximizing the power of the swing and the transfer of energy to the ball. By introducing Nanoair Spring into the resin which binds the carbon fibres, nanoscale air bubbles in the material help the racquet to flex and bend as in a spring. The result is a better transfer of energy from string-bed to shuttle for a more powerful shot.",More enery to the ball
Admin,base,Default,simple,YON00018,YON00018,VT 5 ,4050,2430,3240,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,The stiff racquet structure at the top of the frame head allows the head to bend in a very controlled way and hold shuttles on the string bed for longer. The thin frame sides then allow the frame to flex more and transfer more energy to the shuttle. This combination allows you to smash with instant power.Flex: Medium Frame: Graphite Tungsten Shaft:  Graphite Weight/Grip Size: 3U (85-89.9g) G4,VT 5 is a stiff racquet structure at the top of the frame head allows the head to bend in a very controlled way and hold shuttles on the string bed for longer.,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00018.jpg,YON00018.jpg,YON00018.jpg,YON00018.jpg,The stiff racquet structure at the top of the frame head allows the head to bend in a very controlled way and hold shuttles on the string bed for longer. The thin frame sides then allow the frame to flex more and transfer more energy to the shuttle. This combination allows you to smash with instant power.Flex: Medium Frame: Graphite Tungsten Shaft:  Graphite Weight/Grip Size: 3U (85-89.9g) G4,"Holding shuttle, longer on string bed"
Admin,base,Default,simple,YON00019,YON00019,MP 29,3380,2028,2704,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"Muscle Power eliminates the stress-load and fatigue through contact friction

The construction creates total unity of the string and frame through closer-and-tighter contact",Muscle Power 29,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00019.jpg,YON00019.jpg,YON00019.jpg,YON00019.jpg,"Muscle Power eliminates the stress-load and fatigue through contact friction

The construction creates total unity of the string and frame through closer-and-tighter contact",muscle power
Admin,base,Default,simple,YON00020,YON00020,NS 500 ,4300,2580,3440,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The NanoSpeed hundred series is Yonex new line of low cost performance badminton racquet using the latest nano technology. The NanoSpeed 500 is an aerodynamic and widebody racket with little weight balanced toward the head for power game. This racket is an excellent intermediate racket for players who play all-round with some offensive/attacking game and want more smashing power.
By controlling how badminton racquet material performs at the level of a thousand millionth of a particle unit, YONEX reduces the amount of racquet material the shaft needs for high strength. This makes the NanoSpeed line of badminton racquets shaft thinner and stronger to realize the long-time badminton player dream of a thinner and strong frame for quick racquet maneuverability.",Nano Speed 500,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00020.jpg,YON00020.jpg,YON00020.jpg,YON00020.jpg,"The NanoSpeed hundred series is Yonex new line of low cost performance badminton racquet using the latest nano technology. The NanoSpeed 500 is an aerodynamic and widebody racket with little weight balanced toward the head for power game. This racket is an excellent intermediate racket for players who play all-round with some offensive/attacking game and want more smashing power.
By controlling how badminton racquet material performs at the level of a thousand millionth of a particle unit, YONEX reduces the amount of racquet material the shaft needs for high strength. This makes the NanoSpeed line of badminton racquets shaft thinner and stronger to realize the long-time badminton player dream of a thinner and strong frame for quick racquet maneuverability.","NanoSpeed,ns, Yonex ns"
Admin,base,Default,simple,YON00021,YON00021,VT 7 ,5120,3072,4096,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"VOLTRIC IS POWER The stiff racquet structure at the top of the frame head allows the head to bend in a very controlled way and hold shuttles on the string bed for longer. The thin frame sides then allow the frame to flex more and transfer more energy to the shuttle. This combination allows you to smash with instant power.VOLTRIC IS AGILITY In VOLTRIC, the weight is balanced on the top of the frame and at the joint area which allows good handling while also maintaining power. The thin sides of the frame and at the top of the head reduced air resistance and improve the handling even further. Players can now make a full swing even during short range rallies as VOLTRIC responds instantly to even subtle movements. VOLTRIC IS STRONG SOUNDING Another innovative Yonex technology, SOUND FILTER uses new materials at the two and ten o'clock positions to reduce only high pitched and dull soundwaves. This produces a louder and sharper sounds on impact to unsettle opponents, and provides a more aggressive tone to your game for a relentlessly attacking style of play. Flex: Medium Frame:H.M. Graphite Tungsten Shaft: Graphite Weight/Grip Size:  4U (80-84.9g) G4",Yonex VT 7,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00021.jpg,YON00021.jpg,YON00021.jpg,YON00021.jpg,"VOLTRIC IS POWER The stiff racquet structure at the top of the frame head allows the head to bend in a very controlled way and hold shuttles on the string bed for longer. The thin frame sides then allow the frame to flex more and transfer more energy to the shuttle. This combination allows you to smash with instant power.VOLTRIC IS AGILITY In VOLTRIC, the weight is balanced on the top of the frame and at the joint area which allows good handling while also maintaining power. The thin sides of the frame and at the top of the head reduced air resistance and improve the handling even further. Players can now make a full swing even during short range rallies as VOLTRIC responds instantly to even subtle movements. VOLTRIC IS STRONG SOUNDING Another innovative Yonex technology, SOUND FILTER uses new materials at the two and ten o'clock positions to reduce only high pitched and dull soundwaves. This produces a louder and sharper sounds on impact to unsettle opponents, and provides a more aggressive tone to your game for a relentlessly attacking style of play. Flex: Medium Frame:H.M. Graphite Tungsten Shaft: Graphite Weight/Grip Size:  4U (80-84.9g) G4","Power, Agility, Strong Sounding"
Admin,base,Default,simple,YON00022,YON00022,NS 850,4920,2952,3936,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,The Yonex NanoSpeed 850 (NS850) badminton racket replaces the NanoSpeed 800 series. The Yonex NanoSpeed 850 (NS850) uses the Delta Power Frame structure and Super High Modulus Graphite material on the head which improve the racket aerodynamic shape and gives more power through higher repulsion. The NanoSpeed 850 (NS850) badminton racket has a little head light balance which makes it easy to swing fast. This racket is designed to generate power from fast speed swing. An excellent badminton racket for defensive and quick shot game. The NanoSpeed 850 (NS850) has lightweight feel and very easy racket to adapt and play with. The racket comes with custom stringing using Yonex BG-65 performance string. Upgrade ot a better string is available.,,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00022.jpg,YON00022.jpg,YON00022.jpg,YON00022.jpg,The Yonex NanoSpeed 850 (NS850) badminton racket replaces the NanoSpeed 800 series. The Yonex NanoSpeed 850 (NS850) uses the Delta Power Frame structure and Super High Modulus Graphite material on the head which improve the racket aerodynamic shape and gives more power through higher repulsion. The NanoSpeed 850 (NS850) badminton racket has a little head light balance which makes it easy to swing fast. This racket is designed to generate power from fast speed swing. An excellent badminton racket for defensive and quick shot game. The NanoSpeed 850 (NS850) has lightweight feel and very easy racket to adapt and play with. The racket comes with custom stringing using Yonex BG-65 performance string. Upgrade ot a better string is available.,
Admin,base,Default,simple,YON00023,YON00023,NS 990,5765,3459,4612,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The Yonex NanoSpeed 990 (NS990) badminton racket is a new line-up from Yonex to target a more experience player with economical pricing. The Yonex NanoSpeed 990 (NS990) uses both High Modulus Graphite and Super High Modulus Graphite materiasl on the head frame and shaft which improve the strength of the racket. Yonex also added Carbon NanoTube on the shaft for extra stiffness giving the racket excellent control. The NanoSpeed 990 (NS990) badminton racket has a little head light balance which makes it easy to swing fast. This racket is designed to generate power from fast speed swing. An excellent badminton racket for both offensive and defensive game. The racket comes with custom stringing using Yonex BG-65 performance string. Upgrade ot a better string is available.

The NanoSpeed hundred series is Yonex new line of low cost performance badminton racquet using the latest nano tube technology. By controlling how badminton racquet material performs at the level of a thousand millionth of a particle unit, YONEX reduces the amount of racquet material the shaft needs for high strength. This makes the NanoSpeed line of badminton racquets shaft thinner and stronger to realize the long-time badminton player dream of a thinner and strong frame for quick racquet maneuverability.",Nano Speed 990,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00023.jpg,YON00023.jpg,YON00023.jpg,YON00023.jpg,"The Yonex NanoSpeed 990 (NS990) badminton racket is a new line-up from Yonex to target a more experience player with economical pricing. The Yonex NanoSpeed 990 (NS990) uses both High Modulus Graphite and Super High Modulus Graphite materiasl on the head frame and shaft which improve the strength of the racket. Yonex also added Carbon NanoTube on the shaft for extra stiffness giving the racket excellent control. The NanoSpeed 990 (NS990) badminton racket has a little head light balance which makes it easy to swing fast. This racket is designed to generate power from fast speed swing. An excellent badminton racket for both offensive and defensive game. The racket comes with custom stringing using Yonex BG-65 performance string. Upgrade ot a better string is available.

The NanoSpeed hundred series is Yonex new line of low cost performance badminton racquet using the latest nano tube technology. By controlling how badminton racquet material performs at the level of a thousand millionth of a particle unit, YONEX reduces the amount of racquet material the shaft needs for high strength. This makes the NanoSpeed line of badminton racquets shaft thinner and stronger to realize the long-time badminton player dream of a thinner and strong frame for quick racquet maneuverability.",
Admin,base,Default,simple,YON00024,YON00024,Nano Ray 80,5980,3588,4784,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,Flex: Stiff Frame:H.M. Graphite Shaft: H.M. Graphite NanoMesh + Carbon Nanotube Weight/Grip Size: 3U (85-89.9g) G4,Nanoray 80 has Flex: Stiff Frame:H.M. Graphite Shaft: H.M. Graphite NanoMesh + Carbon Nanotube Weight/Grip Size: 3U (85-89.9g) G4,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00024.jpg,YON00024.jpg,YON00024.jpg,YON00024.jpg,Flex: Stiff Frame:H.M. Graphite Shaft: H.M. Graphite NanoMesh + Carbon Nanotube Weight/Grip Size: 3U (85-89.9g) G4,"Stiff Flex, Graphite frame Grip Size 3U (85-89.9g) G4"
Admin,base,Default,simple,YON00025,YON00025,CAB 21 Special,6190,3714,4952,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,Carbonex series racquets has stiff and powerful box construction for high power and consistent control that has made Carbonex Racquets the long-time favorites of hard hitters. ,,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00025.jpg,YON00025.jpg,YON00025.jpg,YON00025.jpg,Carbonex series racquets has stiff and powerful box construction for high power and consistent control that has made Carbonex Racquets the long-time favorites of hard hitters. ,"Yonex Cab 21 Special,Yonex Rackets"
Admin,base,Default,simple,YON00026,YON00026,TI 3LT ,5900,3540,4720,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,Yonex Ti3 Titanium Mesh Badminton Racket is manufactured with Titanium Mesh Technology that incorporates several new technologies. Specially New dimension in speed and power. It is made of full carbon graphite materials.,,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00026.jpg,YON00026.jpg,YON00026.jpg,YON00026.jpg,Yonex Ti3 Titanium Mesh Badminton Racket is manufactured with Titanium Mesh Technology that incorporates several new technologies. Specially New dimension in speed and power. It is made of full carbon graphite materials.,"Titanium mesh, Speed and power"
Admin,base,Default,simple,YON00028,YON00028,NS 2000 ,9620,2886,4810,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The Yonex NanoSpeed 2000 (NS-2000) Blue badminton racket is a little head light racket good for all-around type of play. Easy to adjust and has a very nice balance feel with an overal racket weight of 89 grams (3U) and small grip size (G5), excellent for players that prefers smaller grip for explosive finger power stroke like the professionals, e.g. Taufik Hidayat iwith his 200km/h backhand shot. The Yonex new line of badminton racquet, NanoSpeed, uses the latest nano-technology to create a more durable and powerful badminton racquet. Excellent for players looking for all around type and fast responsive racket.

By controlling how badminton racket material performs at the level of a thousand millionth of a particle unit, YONEX reduces the amount of racquet material the shaft needs for high strength. This makes the NanoSpeed line of badminton racquets shaft thinner and stronger to realize the long-time badminton player dream of a thinner and strong frame for quick racket maneuverability.",Yonex Nano Speed 2000,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00028.jpg,YON00028.jpg,YON00028.jpg,YON00028.jpg,"The Yonex NanoSpeed 2000 (NS-2000) Blue badminton racket is a little head light racket good for all-around type of play. Easy to adjust and has a very nice balance feel with an overal racket weight of 89 grams (3U) and small grip size (G5), excellent for players that prefers smaller grip for explosive finger power stroke like the professionals, e.g. Taufik Hidayat iwith his 200km/h backhand shot. The Yonex new line of badminton racquet, NanoSpeed, uses the latest nano-technology to create a more durable and powerful badminton racquet. Excellent for players looking for all around type and fast responsive racket.

By controlling how badminton racket material performs at the level of a thousand millionth of a particle unit, YONEX reduces the amount of racquet material the shaft needs for high strength. This makes the NanoSpeed line of badminton racquets shaft thinner and stronger to realize the long-time badminton player dream of a thinner and strong frame for quick racket maneuverability.","NanoSpeed,ns, Yonex ns"
Admin,base,Default,simple,YON00029,YON00029,NS 3000,10690,6414,8552,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The Yonex new line of badminton racquet, NanoSpeed, uses the latest nano-technology to create a more durable and powerful badminton racquet. The Yonex NanoSpeed 3000 (NS-3000) is a racket designed especially for women with softer colors (Pink or Lime), overall ligther racket weight (4U - 84g) and smaller grip size (G5). The NS-3000 is a very easy racket to play. It is very manueverable and superb fast response. Excellent for players looking for lightweight and fast reaction racket.
By controlling how badminton racket material performs at the level of a thousand millionth of a particle unit, YONEX reduces the amount of racquet material the shaft needs for high strength. This makes the NanoSpeed line of badminton racquets shaft thinner and stronger to realize the long-time badminton player dream of a thinner and strong frame for quick racket maneuverability.",Yonex Nano Speed 3000,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00029.jpg,YON00029.jpg,YON00029.jpg,YON00029.jpg,"The Yonex new line of badminton racquet, NanoSpeed, uses the latest nano-technology to create a more durable and powerful badminton racquet. The Yonex NanoSpeed 3000 (NS-3000) is a racket designed especially for women with softer colors (Pink or Lime), overall ligther racket weight (4U - 84g) and smaller grip size (G5). The NS-3000 is a very easy racket to play. It is very manueverable and superb fast response. Excellent for players looking for lightweight and fast reaction racket.
By controlling how badminton racket material performs at the level of a thousand millionth of a particle unit, YONEX reduces the amount of racquet material the shaft needs for high strength. This makes the NanoSpeed line of badminton racquets shaft thinner and stronger to realize the long-time badminton player dream of a thinner and strong frame for quick racket maneuverability.",
